sequence,level,property_type,identifier,module,class_term,property_term,association_role,representation_term,associated_module,associated_class,multiplicity,definition,label_local,definition_local,id
151,2,Attribute,PK,cor,Document Information,Audit Number,,String,,,0..1,Unique identifier for this file.,監査番号,このファイルの一意識別子。,CO10-02
152,2,Attribute,,cor,Document Information,Revises Audit Number,,String,,,0..1,"If this batch of information revises a previous batch of information, this field identifies the previous batch that is being revised. 'uniqueID' of the previous batch goes here. Developers should consider exception reporting.",改訂前監査番号,この仕訳の束が以前の仕訳の束を改訂する場合に、以前の束を示す。元の文書のuniqueIDが指定される。開発者は、例外報告を考慮すべきである。,CO10-03
153,2,Attribute,,cor,Document Information,Action to Take with Previous Data,,Token,,,0..1,Provides guidance on action to take with previous set of data: supersedes - old data should be considered as obsolete/overwritten; supplements - belongs with that data as if it was included with it.,改訂前データ処置,"以前のデータの束に対する操作のガイダンス。 取替え-古いデータを無効にし上書きする。_x000D_
補完-元々含まれていたかのように、そのデータに所属させる。_x000D_
[設定値のリスト]_x000D_
(supplement：補完)、(supersede：取替え)",CO10-04
154,2,Attribute,,cor,Document Information,Language,,QName,,,0..1,"Primary language of the intellectual content. Where practical, the content of this field should coincide with ISO 639-1988 language codes.",言語,主要言語。 実用的には、このフィールドの内容はISO639-1988言語コードに一致すべきである。,CO10-05
155,2,Attribute,,cor,Document Information,Creation Date,,Date Time,,,0..1,Date/time file was created.,作成日付,ファイルが作成された日付/時間。,CO10-06
156,2,Attribute,,cor,Document Information,Creator,,String,,,0..1,Identifies the creator of the XBRL instance.,作成者,ファイルの作成者の識別子。,CO10-07
157,2,Attribute,,cor,Document Information,Document Comment,,String,,,0..1,Text for entire document.,文書コメント,文書全体に対する説明文。,CO10-08
158,2,Attribute,,cor,Document Information,Period Covered Start,,Date Time,,,0..1,"Start of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",対象期間開始日付,内容の日付範囲の開始日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。,CO10-09
159,2,Attribute,,cor,Document Information,Period Covered End,,Date Time,,,0..1,"End of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",対象期間終了日付,内容の日付範囲の終了日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。,CO10-10
160,2,Attribute,,cor,Document Information,Period Count,,Decimal,,,0..1,"Number of periods or buckets, used by postingCode. Used to interpret posting date. It may be preferable to limit entries by period covered to be by individual reporting period.",期間数,postingCodeで使用される期間又はバケットの数。 転記日付を説明するために使用される。対象期間の仕訳を個々の報告期間に限定することが望ましいかもしれない。,CO10-11
161,2,Attribute,,cor,Document Information,Period Unit,,Token,,,0..1,"Type of periods covered by periodCount. Enumerated as: daily, weekly, bi-weekly, semi-monthly, monthly, quarterly, thirdly, semiannual, annual, ad-hoc, current-period-only, other.",期間単位,"periodCountで対象とする期間の種別。_x000D_
[設定値のリスト]_x000D_
(daily：日次)、(weekly：週次)、(bi-weekly：隔週)、(semi-monthly：半月ごと)、(monthly：月次)、(quarterly：四半期ごと)、(thirdly：年3回)、(semiannual：半年ごと)、(annual：年次)、(ad-hoc：随時)、(current-period-only：当期)、(other：その他)",CO10-12
162,2,Attribute,,cor,Document Information,Period Unit Description,,String,,,0..1,Free format description of the period unit,期間単位説明,対象期間単位の説明。,CO10-13
163,2,Attribute,,cor,Document Information,Source Application,,String,,,0..1,"Product or service that produced this file. Used by many systems (e.g., VAT). Version number can be included or extended.",作成元アプリケーション,このファイルを作り出した製品又はサービス。 多くのシステム(例えば、VATなど)で、使用される。 バージョン番号を含むことも可能。,CO10-14
164,2,Attribute,,cor,Document Information,Target Application,,String,,,0..1,Particular use for which file was generated.,対象アプリケーション,ファイルが作成された用途。,CO10-15
165,2,Attribute,,cor,Document Information,Default Currency,,QName,,,0..1,"The default currency related to the amount can be entered here instead of the XBRL instance specified way, especially important in multi-currency situations. Recommend ISO 4217 coding",既定通貨,XBRLインスタンス内に指定する方法のかわりに、金額の既定の通貨を指定可能。多通貨環境で特に重要。ISO4217コード体系を推奨。,CO10-16
166,2,Composition,,cor,Document Information,,,,lnk,Summary Reporting Taxonomies,0..*,Identifies and provides information about one or more target reporting taxonomies to which the data represented in the document rolls up to.,【集約報告タクソノミ】,この文書で示されたデータのロールアップ先となる、1つ以上の報告タクソノミの情報を、識別し提供する。,CO10-17
167,1,Class,,bus,Party_ Contact,,,,,,0..*,Information about contacts.,【担当者情報】,担当者に関する情報。,BU22
168,2,Attribute,,bus,Party_ Contact,Contact Prefix,,String,,,0..1,"Prefix (e.g. Dr., Mr., Mrs.)",敬称,敬称(Dr.、Mr.、Mrs.など),BU22-01
169,2,Attribute,,bus,Party_ Contact,Contact Last Name,,String,,,0..1,Last or family name,姓,姓,BU22-02
170,2,Attribute,,bus,Party_ Contact,Contact First Name,,String,,,0..1,First or given name,名,名、クリスチャンネーム,BU22-03
171,2,Attribute,,bus,Party_ Contact,Contact Suffix,,String,,,0..1,"Suffix (e.g. MD, CPA, Jr.)",付加名称,付加名称(MD、CPA、Jr.など),BU22-04
172,2,Attribute,,bus,Party_ Contact,Contact Attention Line,,String,,,0..1,Attention Line,アテンションライン,アテンションライン,BU22-05
173,2,Attribute,,bus,Party_ Contact,Contact Position Role,,String,,,0..1,Position or role,地位/役職,地位や役職。,BU22-06
174,2,Attribute,,bus,Party_ Contact,Contact Contact Type,,String,,,0..1,"Role of contact. Examples include: Source Service, Sender, Recipient, Invoicer, Auditor, Accountant",担当者役割,担当者の役割。例：ソースサービス、送付元、受取人、請求先、監査人、会計事務所。,BU22-07
175,2,Attribute,,bus,Party_ Contact,Contact Location ID cross reference,,String,,,0..1,This code is used to associate the contact with a specific location for the Entity. Its value should be the same as that of the organizationAddressLocationIdentifier,所在地相互参照情報,担当者と事業体の位置情報を関係付けるためのコード。organizationAddressLocationIdentifierと同じ値であるべき。,BU22-08
176,2,Attribute,,bus,Party_ Contact,Contact Active,,Boolean,,,0..1,"Boolean to indicate whether the contact is active (=""true"") or inactive (=""false"")",担当者有効性,担当者が有効か無効かを示すブール値。,BU22-09
177,2,Composition,,bus,Party_ Contact,,,,bus,Contact_ Phone,0..*,Contact Phone Number,【担当者電話番号】,担当者の電話番号。,BU22-10
178,2,Composition,,bus,Party_ Contact,,,,bus,Contact_ Fax,0..*,Contact Fax Number Class,【担当者FAX番号】,担当者のFAX番号の構造体。,BU22-11
179,2,Composition,,bus,Party_ Contact,,,,bus,Contact_ Email,0..*,Contact E-mail address class,【担当者Eメールアドレス】,担当者のEメールアドレスの構造体。,BU22-12
180,1,Class,,bus,Entity_ Party_ Contact,,,,,,0..*,Information about contacts.,【担当者情報】,担当者に関する情報。,BU23
181,2,Attribute,,bus,Entity_ Party_ Contact,Contact Prefix,,String,,,0..1,"Prefix (e.g. Dr., Mr., Mrs.)",敬称,敬称(Dr.、Mr.、Mrs.など),BU23-01
182,2,Attribute,,bus,Entity_ Party_ Contact,Contact Last Name,,String,,,0..1,Last or family name,姓,姓,BU23-02
183,2,Attribute,,bus,Entity_ Party_ Contact,Contact First Name,,String,,,0..1,First or given name,名,名、クリスチャンネーム,BU23-03
184,2,Attribute,,bus,Entity_ Party_ Contact,Contact Suffix,,String,,,0..1,"Suffix (e.g. MD, CPA, Jr.)",付加名称,付加名称(MD、CPA、Jr.など),BU23-04
185,2,Attribute,,bus,Entity_ Party_ Contact,Contact Attention Line,,String,,,0..1,Attention Line,アテンションライン,アテンションライン,BU23-05
186,2,Attribute,,bus,Entity_ Party_ Contact,Contact Position Role,,String,,,0..1,Position or role,地位/役職,地位や役職。,BU23-06
187,2,Attribute,,bus,Entity_ Party_ Contact,Contact Contact Type,,String,,,0..1,"Role of contact. Examples include: Source Service, Sender, Recipient, Invoicer, Auditor, Accountant",担当者役割,担当者の役割。例：ソースサービス、送付元、受取人、請求先、監査人、会計事務所。,BU23-07
188,2,Attribute,,bus,Entity_ Party_ Contact,Contact Location ID cross reference,,String,,,0..1,This code is used to associate the contact with a specific location for the Entity. Its value should be the same as that of the organizationAddressLocationIdentifier,所在地相互参照情報,担当者と事業体の位置情報を関係付けるためのコード。organizationAddressLocationIdentifierと同じ値であるべき。,BU23-08
189,2,Attribute,,bus,Entity_ Party_ Contact,Contact Active,,Boolean,,,0..1,"Boolean to indicate whether the contact is active (=""true"") or inactive (=""false"")",担当者有効性,担当者が有効か無効かを示すブール値。,BU23-09
190,2,Composition,,bus,Entity_ Party_ Contact,,,,bus,Contact_ Phone,0..*,Contact Phone Number,【担当者電話番号】,担当者の電話番号。,BU23-10
191,2,Composition,,bus,Entity_ Party_ Contact,,,,bus,Contact_ Fax,0..*,Contact Fax Number Class,【担当者FAX番号】,担当者のFAX番号の構造体。,BU23-11
192,2,Composition,,bus,Entity_ Party_ Contact,,,,bus,Contact_ Email,0..*,Contact E-mail address class,【担当者Eメールアドレス】,担当者のEメールアドレスの構造体。,BU23-12
193,1,Class,,cor,Identifier_ Contact,,,,,,0..*,Identifier Contact Information Class,【CVE担当者情報】,CVE識別子の担当者情報の構造体。,CO11
194,2,Attribute,,cor,Identifier_ Contact,Contact Prefix,,String,,,0..1,"Prefix (e.g. Dr., Mr., Mrs.)",敬称,敬称(Dr.、Mr.、Mrs.など),CO11-01
195,2,Attribute,,cor,Identifier_ Contact,Contact Last Name,,String,,,0..1,Last or family name,姓,姓,CO11-02
196,2,Attribute,,cor,Identifier_ Contact,Contact First Name,,String,,,0..1,First or given name,名,名、クリスチャンネーム,CO11-03
197,2,Attribute,,cor,Identifier_ Contact,Contact Suffix,,String,,,0..1,"Suffix (e.g. MD, CPA, Jr.)",付加名称,付加名称(MD、CPA、Jr.など),CO11-04
198,2,Attribute,,cor,Identifier_ Contact,Contact Attention Line,,String,,,0..1,Attention Line,アテンションライン,アテンションライン,CO11-05
199,2,Attribute,,cor,Identifier_ Contact,Contact Position Role,,String,,,0..1,Position or role,地位/役職,地位や役職。,CO11-06
200,2,Attribute,,cor,Identifier_ Contact,Contact Contact Type,,String,,,0..1,"Role of contact. Examples include: Source Service, Sender, Recipient, Invoicer, Auditor, Accountant",担当者役割,担当者の役割。例：ソースサービス、送付元、受取人、請求先、監査人、会計事務所。,CO11-07
201,2,Attribute,,cor,Identifier_ Contact,Contact Location ID cross reference,,String,,,0..1,This code is used to associate the contact with a specific location for the Entity. Its value should be the same as that of the organizationAddressLocationIdentifier,所在地相互参照情報,担当者と事業体の位置情報を関係付けるためのコード。organizationAddressLocationIdentifierと同じ値であるべき。,CO11-08
202,2,Attribute,,cor,Identifier_ Contact,Contact Active,,Boolean,,,0..1,"Boolean to indicate whether the contact is active (=""true"") or inactive (=""false"")",担当者有効性,担当者が有効か無効かを示すブール値。,CO11-09
203,2,Composition,,cor,Identifier_ Contact,,,,bus,Contact_ Phone,0..*,Contact Phone Number,【担当者電話番号】,担当者の電話番号。,CO11-10
204,2,Composition,,cor,Identifier_ Contact,,,,bus,Contact_ Fax,0..*,Contact Fax Number Class,【担当者FAX番号】,担当者のFAX番号の構造体。,CO11-11
205,2,Composition,,cor,Identifier_ Contact,,,,bus,Contact_ Email,0..*,Contact E-mail address class,【担当者Eメールアドレス】,担当者のEメールアドレスの構造体。,CO11-12
