sequence,module,level,type,identifier,name,datatype,multiplicity,association_role,definition,label_local,definition_local,source_bsm_id,semantic_path,associated_module,class_term,local_name,xpath
60,bus,4,A,,Contact Suffix,String,0..1,,"Suffix (e.g. MD, CPA, Jr.)",付加名称,付加名称(MD、CPA、Jr.など),BU22-04,$.cor_AccountingEntries.cor_EntityParty.cor_PartyContact.bus_ContactSuffix,bus,Party_ Contact,contactSuffix,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactSuffix
61,bus,4,A,,Contact Attention Line,String,0..1,,Attention Line,アテンションライン,アテンションライン,BU22-05,$.cor_AccountingEntries.cor_EntityParty.cor_PartyContact.bus_ContactAttentionLine,bus,Party_ Contact,contactAttentionLine,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactAttentionLine
62,bus,4,A,,Contact Position Role,String,0..1,,Position or role,地位/役職,地位や役職。,BU22-06,$.cor_AccountingEntries.cor_EntityParty.cor_PartyContact.bus_ContactPositionRole,bus,Party_ Contact,contactPositionRole,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactPositionRole
63,bus,4,A,,Contact Contact Type,String,0..1,,"Role of contact. Examples include: Source Service, Sender, Recipient, Invoicer, Auditor, Accountant",担当者役割,担当者の役割。例：ソースサービス、送付元、受取人、請求先、監査人、会計事務所。,BU22-07,$.cor_AccountingEntries.cor_EntityParty.cor_PartyContact.bus_ContactContactType,bus,Party_ Contact,contactContactType,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactContactType
64,bus,4,A,,Contact Location ID cross reference,String,0..1,,This code is used to associate the contact with a specific location for the Entity. Its value should be the same as that of the organizationAddressLocationIdentifier,所在地相互参照情報,担当者と事業体の位置情報を関係付けるためのコード。organizationAddressLocationIdentifierと同じ値であるべき。,BU22-08,$.cor_AccountingEntries.cor_EntityParty.cor_PartyContact.bus_ContactLocationIDcrossreference,bus,Party_ Contact,contactLocationIdCrossReference,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactLocationIdCrossReference
65,bus,4,A,,Contact Active,Boolean,0..1,,"Boolean to indicate whether the contact is active (=""true"") or inactive (=""false"")",担当者有効性,担当者が有効か無効かを示すブール値。,BU22-09,$.cor_AccountingEntries.cor_EntityParty.cor_PartyContact.bus_ContactActive,bus,Party_ Contact,contactActive,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactActive
66,bus,4,C,,Contact_ Phone,,0..*,,Contact Phone Number,【担当者電話番号】,担当者の電話番号。,BU22-10,$.cor_AccountingEntries.cor_EntityParty.cor_PartyContact.bus_ContactPhone,bus,Contact_ Phone,contactPhone,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactPhone
67,bus,5,A,PK,Phone Number,String,0..1,,Phone number referred to in Phone Number Description'\.,電話番号,電話番号用途で示される電話番号。,BU03-01,$.cor_AccountingEntries.cor_EntityParty.cor_PartyContact.bus_ContactPhone.bus_PhoneNumber,bus,Contact_ Phone,phoneNumber,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactPhone/gl-bus:phoneNumber
68,bus,5,A,,Phone Number Description,String,0..1,,"Entity Phone Number Description such as Main, Investor relations. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",電話番号用途,"代表、IR用などの、電話番号の用途。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",BU03-02,$.cor_AccountingEntries.cor_EntityParty.cor_PartyContact.bus_ContactPhone.bus_PhoneNumberDescription,bus,Contact_ Phone,phoneNumberDescription,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactPhone/gl-bus:phoneNumberDescription
69,bus,4,C,,Contact_ Fax,,0..*,,Contact Fax Number Class,【担当者FAX番号】,担当者のFAX番号の構造体。,BU22-11,$.cor_AccountingEntries.cor_EntityParty.cor_PartyContact.bus_ContactFax,bus,Contact_ Fax,contactFax,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactFax
70,bus,5,A,PK,Fax Number,String,0..1,,Fax Number,FAX番号,FAX番号。,BU08-01,$.cor_AccountingEntries.cor_EntityParty.cor_PartyContact.bus_ContactFax.bus_FaxNumber,bus,Contact_ Fax,faxNumber,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactFax/gl-bus:faxNumber
71,bus,5,A,,Fax Number Usage,String,0..1,,"Fax number usage (e.g. orders, head office, IR)",FAX番号用途,FAX番号の用途。(注文、本社、IRなど),BU08-02,$.cor_AccountingEntries.cor_EntityParty.cor_PartyContact.bus_ContactFax.bus_FaxNumberUsage,bus,Contact_ Fax,faxNumberUsage,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactFax/gl-bus:faxNumberUsage
72,bus,4,C,,Contact_ Email,,0..*,,Contact E-mail address class,【担当者Eメールアドレス】,担当者のEメールアドレスの構造体。,BU22-12,$.cor_AccountingEntries.cor_EntityParty.cor_PartyContact.bus_ContactEmail,bus,Contact_ Email,contactEmail,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactEmail
73,bus,5,A,PK,Email Address,String,0..1,,Email Address,Eメールアドレス,Eメールアドレス。,BU13-01,$.cor_AccountingEntries.cor_EntityParty.cor_PartyContact.bus_ContactEmail.bus_EmailAddress,bus,Contact_ Email,emailAddress,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactEmail/gl-bus:emailAddress
74,bus,5,A,,Email Address Usage,String,0..1,,"Email address usage (e.g. orders, head office, IR)",Eメールアドレス用途,Eメールアドレスの用途。(注文、本社、IRなど),BU13-02,$.cor_AccountingEntries.cor_EntityParty.cor_PartyContact.bus_ContactEmail.bus_EmailAddressUsage,bus,Contact_ Email,emailAddressUsage,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactEmail/gl-bus:emailAddressUsage
75,cor,3,A,,Default Accounting Method Purpose,Token,0..1,,"If not stated explicitly at the line level, the default reporting purpose - from book, tax, management, statutory, other",既定会計処理方法目的,"明細レベルで明確に指定しない場合の、既定の報告目的を表す。帳簿、税、管理、スタチュトリ、その他から選択する。_x000D_
[設定値のリスト]_x000D_
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)",CO14-11,$.cor_AccountingEntries.cor_EntityParty.cor_DefaultAccountingMethodPurpose,cor,Entity_ Party,defaultAccountingMethodPurpose,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-cor:defaultAccountingMethodPurpose
76,cor,3,A,,Default Accounting Method Purpose Description,String,0..1,,Free format description of the default accounting method purpose,既定会計処理方法目的説明,既定の会計処理方法目的の説明。,CO14-12,$.cor_AccountingEntries.cor_EntityParty.cor_DefaultAccountingMethodPurposeDescription,cor,Entity_ Party,defaultAccountingMethodPurposeDescription,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-cor:defaultAccountingMethodPurposeDescription
77,cor,3,A,,Fiscal Year Start,Date,0..1,,"Start of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",会計年度開始日付,会計年度の開始日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。,CO14-13,$.cor_AccountingEntries.cor_EntityParty.cor_FiscalYearStart,cor,Entity_ Party,fiscalYearStart,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-cor:fiscalYearStart
78,cor,3,A,,Fiscal Year End,Date,0..1,,"End of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",会計年度終了日付,会計年度の終了日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。,CO14-14,$.cor_AccountingEntries.cor_EntityParty.cor_FiscalYearEnd,cor,Entity_ Party,fiscalYearEnd,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-cor:fiscalYearEnd
79,bus,3,C,,Specified_ Accounting Method Structure,,0..*,Specified,Class for identifying the methods of accounting used by the entity for different reporting purposes,【会計処理方法】,異なる報告目的に応じて事業体が使用する会計処理方法を識別するためのセクション。,CO14-15,$.cor_AccountingEntries.cor_EntityParty.cor_SpecifiedAccountingMethodStructure,bus,Accounting Method Structure,specifiedAccountingMethodStructure,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:specifiedAccountingMethodStructure
80,bus,4,A,,Accounting Method,Token,0..1,,"For this entity, the method of accounting represented - from: accrual, cash, modified cash, modified accrual, encumbrance, special methods, hybrid methods, other",会計処理方法,"事業体の会計処理方法を表す。発生基準、現金基準、修正現金基準、修正発生基準、債務基準、特別な方法、混合方法、その他_x000D_
[設定値のリスト]_x000D_
(accrual：発生基準)、(cash：現金基準)、(modified cash：修正現金基準)、(modified accrual：修正発生基準)、(encumbrance：債務基準)、(special methods：特別な方法)、(hybrid methods：混合方法)、(other：その他)",BU25-01,$.cor_AccountingEntries.cor_EntityParty.cor_SpecifiedAccountingMethodStructure.bus_AccountingMethod,bus,Accounting Method Structure,accountingMethod,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:specifiedAccountingMethodStructure/gl-bus:accountingMethod
81,bus,4,A,,Accounting Method Description,String,0..1,,Free format description of the accounting method,会計処理方法説明,会計処理方法の説明。,BU25-02,$.cor_AccountingEntries.cor_EntityParty.cor_SpecifiedAccountingMethodStructure.bus_AccountingMethodDescription,bus,Accounting Method Structure,accountingMethodDescription,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:specifiedAccountingMethodStructure/gl-bus:accountingMethodDescription
82,bus,4,A,,Accounting Method Purpose,Token,0..1,,"For this entity, the reporting purpose represented - from book, tax, management, statutory, other",会計処理方法目的,"事業体の報告の目的を表す。帳簿、税、管理、スタチュトリ、その他から選択する。_x000D_
[設定値のリスト]_x000D_
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)",BU25-03,$.cor_AccountingEntries.cor_EntityParty.cor_SpecifiedAccountingMethodStructure.bus_AccountingMethodPurpose,bus,Accounting Method Structure,accountingMethodPurpose,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:specifiedAccountingMethodStructure/gl-bus:accountingMethodPurpose
83,bus,4,A,,Accounting Method Purpose Description,String,0..1,,Free format description of the accounting method purpose,会計処理方法目的説明,会計処理方法の目的の説明。,BU25-04,$.cor_AccountingEntries.cor_EntityParty.cor_SpecifiedAccountingMethodStructure.bus_AccountingMethodPurposeDescription,bus,Accounting Method Structure,accountingMethodPurposeDescription,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:specifiedAccountingMethodStructure/gl-bus:accountingMethodPurposeDescription
84,bus,4,A,,Accounting Method Start Date,Date Time,0..1,,Accounting Method Start Date,会計処理方法開始日付,会計処理方法の開始日。,BU25-05,$.cor_AccountingEntries.cor_EntityParty.cor_SpecifiedAccountingMethodStructure.bus_AccountingMethodStartDate,bus,Accounting Method Structure,accountingMethodStartDate,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:specifiedAccountingMethodStructure/gl-bus:accountingMethodStartDate
85,bus,4,A,,Accounting Method End Date,Date Time,0..1,,Accounting Method End Date,会計処理方法終了日付,会計処理方法の終了日。,BU25-06,$.cor_AccountingEntries.cor_EntityParty.cor_SpecifiedAccountingMethodStructure.bus_AccountingMethodEndDate,bus,Accounting Method Structure,accountingMethodEndDate,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:specifiedAccountingMethodStructure/gl-bus:accountingMethodEndDate
86,bus,3,C,,Assigned_ Accountant,,0..*,Assigned,Information about the relevant external accountant,【会計事務所情報】,関連する外部会計事務所に関する情報。,CO14-16,$.cor_AccountingEntries.cor_EntityParty.cor_AssignedAccountant,bus,Accountant,assignedAccountant,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:assignedAccountant
87,bus,4,A,,Accountant Name,String,0..1,,Name of the accountant,会計事務所名,会計事務所の名前。,BU26-01,$.cor_AccountingEntries.cor_EntityParty.cor_AssignedAccountant.bus_AccountantName,bus,Accountant,accountantName,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:assignedAccountant/gl-bus:accountantName
88,bus,4,A,,Accountant Type of Engagement,Token,0..1,,"Type of engagement being performed by external accountant. Enumerated as: audit, review, compilation, tax, other.",契約種別,"外部会計事務所によって実行される契約の種別。_x000D_
[設定値のリスト]_x000D_
(audit：監査)、(review：検査)、(compilation：帳簿作成)、(tax：税)、(other：その他)",BU26-02,$.cor_AccountingEntries.cor_EntityParty.cor_AssignedAccountant.bus_AccountantTypeofEngagement,bus,Accountant,accountantTypeOfEngagement,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:assignedAccountant/gl-bus:accountantTypeOfEngagement
